 UCAC4 RAJ2000 DEJ2000 ePos f.mag of db pmRA pmDE Jmag Kmag Bmag Vmag rmag imag H A b h Z B L N S x y id xcenter ycenter inst_mag
0 088-000070 1.0486277 -72.5685748 26 13.562 0 0 7.7 -11.3 12.215 11.802 14.262 13.518 13.331 13.167 0 0 0 0 0 0 0 0 1 180.4703099254662 25.43957993668891 1 180.4703099254662 25.43957993668891 -13.838906376189382
1 088-000075 1.2140827 -72.5215967 48 14.612 0 0 -5.3 -18.8 13.074 12.438 15.966 14.894 14.567 14.306 0 0 0 0 0 0 0 0 1 74.81960347079288 124.75024999648834 2 74.81960347079288 124.75024999648834 -13.037313084926733
3 088-000061 0.8735465 -72.494647 20 12.285 0 0 11.6 8.8 11.095 10.723 12.979 12.298 12.151 12.009 0 1 0 0 0 0 0 0 1 291.47700834836246 182.09380606912504 4 405.02791866978487 139.656861245479 -13.56720547378843
5 088-000049 0.6950942 -72.5145128 28 14.139 0 0 12.4 -6.3 12.583 12.051 14.988 14.163 13.91 13.698 0 0 0 0 0 0 0 0 1 405.02791866978487 139.656861245479 6 318.7586964039957 195.98321276656057 -13.013528455335399
7 088-000053 0.7410618 -72.5058984 43 14.624 0 0 -7.4 -2.6 13.67 13.273 15.531 14.873 14.725 14.579 0 0 0 0 0 0 0 0 1 375.81578808991895 158.0300746640659 8 297.82277455800335 305.89382507617944 -13.099351483755461
8 088-000056 0.8307403 -72.488065 83 15.302 0 0 14.1 -4.0 14.24 13.841 16.129 15.499 15.278 15.178 0 0 0 0 0 0 0 0 1 318.7586964039957 195.98321276656057 9 294.2322247116671 323.4729149995096 -13.115729904054147
9 088-000057 0.8384468 -72.4983184 20 10.905 0 0 22.2 -0.6 9.135 8.401 12.286 11.113 10.751 10.419 3 1 0 0 0 0 0 0 1 313.83040150392577 174.27350920566923 10 262.12860768689586 381.42534618196277 -12.471820714482117
14 088-000059 0.8637933 -72.4361825 81 15.647 0 0 38.7 -72.9 14.386 14.059 15.842 15.338 15.294 15.202 0 0 0 0 0 0 0 0 1 297.82277455800335 305.89382507617944 15 68.03788991508468 270.9830845426338 -13.215895260356024
15 088-000060 0.8694615 -72.4278812 44 14.903 0 0 5.1 -3.9 13.443 12.873 15.99 15.041 14.768 14.554 0 0 0 0 0 0 0 0 1 294.2322247116671 323.4729149995096 16 227.06234183997995 265.4762088416884 -14.079013894187327
17 088-000063 0.9198089 -72.4005184 73 16.026 0 0 31.0 -4.9 14.315 13.588 17.19 16.131   0 0 0 0 0 0 0 0 1 262.12860768689586 381.42534618196277 18 108.85202480349524 355.602293056425 -12.83201072478153
18 088-000071 1.0607556 -72.5279759 22 11.025 0 0 3.3 1.8 9.175 8.37 12.348 11.189 10.84 10.471 3 1 0 0 0 0 0 0 1 172.4283995661292 111.48876042433136 19 144.65682693111845 404.7576290159555 -13.138893857875555
19 088-000077 1.2238512 -72.4746203 384 16.031 0 0 -5.0 -25.0 15.004 14.323 17.873 16.389   0 0 0 0 0 0 0 0 1 68.0682011638643 224.24366988809516 20 181.90216317467448 429.7528808678286 -13.188785912202
22 088-000068 1.0262215 -72.484387 32 14.316 0 0 2.6 -7.6 12.83 12.349 15.175 14.324 14.113 13.912 0 0 0 0 0 0 0 0 1 194.16628585013945 203.86507893058084 23 341.3129004868835 364.13191941881985 -13.828527777520556
23 088-000072 1.069633 -72.470172 25 12.984 0 0 -13.3 8.3 11.552 11.048 13.972 13.121 12.86 12.604 0 0 0 0 0 0 0 0 1 166.4183086775698 233.93903150367362 24 224.99638220050085 459.42070422551217 -14.045624152833069
