 UCAC4 RAJ2000 DEJ2000 ePos f.mag of db pmRA pmDE Jmag Kmag Bmag Vmag rmag imag H A b h Z B L N S x y
0 088-000070 1.0486277 -72.5685748 26 13.562 0 0 7.7 -11.3 12.215 11.802 14.262 13.518 13.331 13.167 0 0 0 0 0 0 0 0 1 180.4703099254662 25.43957993668891
1 088-000075 1.2140827 -72.5215967 48 14.612 0 0 -5.3 -18.8 13.074 12.438 15.966 14.894 14.567 14.306 0 0 0 0 0 0 0 0 1 74.81960347079288 124.75024999648834
3 088-000061 0.8735465 -72.494647 20 12.285 0 0 11.6 8.8 11.095 10.723 12.979 12.298 12.151 12.009 0 1 0 0 0 0 0 0 1 291.47700834836246 182.09380606912504
5 088-000049 0.6950942 -72.5145128 28 14.139 0 0 12.4 -6.3 12.583 12.051 14.988 14.163 13.91 13.698 0 0 0 0 0 0 0 0 1 405.02791866978487 139.656861245479
7 088-000053 0.7410618 -72.5058984 43 14.624 0 0 -7.4 -2.6 13.67 13.273 15.531 14.873 14.725 14.579 0 0 0 0 0 0 0 0 1 375.81578808991895 158.0300746640659
8 088-000056 0.8307403 -72.488065 83 15.302 0 0 14.1 -4.0 14.24 13.841 16.129 15.499 15.278 15.178 0 0 0 0 0 0 0 0 1 318.7586964039957 195.98321276656057
9 088-000057 0.8384468 -72.4983184 20 10.905 0 0 22.2 -0.6 9.135 8.401 12.286 11.113 10.751 10.419 3 1 0 0 0 0 0 0 1 313.83040150392577 174.27350920566923
14 088-000059 0.8637933 -72.4361825 81 15.647 0 0 38.7 -72.9 14.386 14.059 15.842 15.338 15.294 15.202 0 0 0 0 0 0 0 0 1 297.82277455800335 305.89382507617944
15 088-000060 0.8694615 -72.4278812 44 14.903 0 0 5.1 -3.9 13.443 12.873 15.99 15.041 14.768 14.554 0 0 0 0 0 0 0 0 1 294.2322247116671 323.4729149995096
17 088-000063 0.9198089 -72.4005184 73 16.026 0 0 31.0 -4.9 14.315 13.588 17.19 16.131   0 0 0 0 0 0 0 0 1 262.12860768689586 381.42534618196277
18 088-000071 1.0607556 -72.5279759 22 11.025 0 0 3.3 1.8 9.175 8.37 12.348 11.189 10.84 10.471 3 1 0 0 0 0 0 0 1 172.4283995661292 111.48876042433136
19 088-000077 1.2238512 -72.4746203 384 16.031 0 0 -5.0 -25.0 15.004 14.323 17.873 16.389   0 0 0 0 0 0 0 0 1 68.0682011638643 224.24366988809516
22 088-000068 1.0262215 -72.484387 32 14.316 0 0 2.6 -7.6 12.83 12.349 15.175 14.324 14.113 13.912 0 0 0 0 0 0 0 0 1 194.16628585013945 203.86507893058084
23 088-000072 1.069633 -72.470172 25 12.984 0 0 -13.3 8.3 11.552 11.048 13.972 13.121 12.86 12.604 0 0 0 0 0 0 0 0 1 166.4183086775698 233.93903150367362
24 088-000076 1.2235653 -72.4525489 55 14.833 0 0 19.4 2.4 13.454 12.883 15.989 15.03 14.748 14.492 0 0 0 0 0 0 0 0 1 68.03788991508468 270.9830845426338
27 088-000066 0.9745412 -72.4553017 23 12.872 0 0 21.8 -1.6 11.608 11.214 13.574 12.902 12.743 12.567 0 1 0 0 0 0 0 0 1 227.06234183997995 265.4762088416884
28 088-000067 0.9965924 -72.432107 227 16.131 0 0 -7.1 -1.6 14.963 14.376 17.064 16.288   0 0 0 0 0 0 0 0 1 212.9600007785464 314.5802929432597
29 088-000073 1.1592874 -72.4126431 103 15.903 0 0 12.7 -6.7 14.734 14.196 16.66 15.869 15.793  0 0 0 0 0 0 0 0 1 108.85202480349524 355.602293056425
33 089-000076 1.1032474 -72.389457 58 15.216 0 0 5.9 -3.7 14.193 13.898 15.844 15.255 15.188 14.88 0 0 0 0 0 0 0 0 1 144.65682693111845 404.7576290159555
34 089-000073 1.0451189 -72.3776714 48 14.8 0 0 -12.2 -19.5 13.291 12.686 15.805 14.918 14.658 14.363 0 0 0 0 0 0 0 0 1 181.90216317467448 429.7528808678286
35 088-000044 0.621685 -72.4227353 23 13.254 0 0 5.3 -8.2 12.098 11.78 13.855 13.243 13.093 12.98 0 0 0 0 0 0 0 0 1 452.66483286808875 333.784214527312
37 088-000051 0.7206077 -72.4143756 27 13.737 0 0 16.1 -2.9 12.488 12.064 14.342 13.717 13.562 13.432 0 0 0 0 0 0 0 0 1 389.50414934309134 351.7858524237024
38 088-000054 0.7960165 -72.4086209 25 13.545 0 0 22.2 5.0 12.256 11.862 14.2 13.553 13.387 13.224 0 0 0 0 0 0 0 0 1 341.3129004868835 364.13191941881985
41 089-000067 0.9779621 -72.3636592 22 12.967 0 0 12.1 -11.4 11.731 11.354 13.693 12.969 12.786 12.643 0 0 0 0 0 0 0 0 1 224.99638220050085 459.42070422551217
